query,original_query,concepts
Engineering books but not about Technology,<mark>Engineering books</mark> that are not <mark>Technology books</mark>,"[""Books"", ""Engineering"", ""NOT Technology""]"
Lost Canadian films or documentary films about law enforcement in Canada,<mark>Documentary films about law enforcement in Canada</mark> or <mark>Lost Canadian films</mark>,"[""lost films"", ""Canadian films"", ""documentary films"", ""law enforcement"", ""Canada""]"
Films that are either set in Nizhny Novgorod or that are Russian comedy thriller films,<mark>Russian comedy thriller films</mark> or <mark>Films set in Nizhny Novgorod</mark>,"[""films set in Nizhny Novgorod"", ""comedy thriller films"", ""Russian films""]"
what are Miocene animals of Europe that are also Odd-toed ungulates,<mark>Miocene animals of Europe</mark> that are also <mark>Odd-toed ungulates</mark>,"[""Miocene epoch"", ""Europe"", ""Odd-toed ungulates (Perissodactyla)""]"
what are Endemic fauna that are birds of Vietnam?,<mark>Endemic fauna of Vietnam</mark> that are also <mark>Birds</mark>,"[""Endemic to Vietnam"", ""Birds (Aves)"", ""Birds of Vietnam""]"
Mammals of Uganda excluding Fauna of Central Africa,<mark>Mammals of Uganda</mark> that are not <mark>Fauna of Central Africa</mark>,"[""Mammals"", ""Uganda"", ""NOT Fauna of Central Africa""]"
Fish that are from both Macaronesia and the Atlantic Ocean.,<mark>Fauna of Macaronesia</mark> that are also <mark>Fish of the Atlantic Ocean</mark>,"[""fish"", ""Macaronesia"", ""Atlantic Ocean""]"
"Crops originating from Uruguay, Paraguay or Chile",<mark>Crops originating from Uruguay</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from Chile</mark>,"[""crops"", ""origin: Uruguay"", ""origin: Paraguay"", ""origin: Chile""]"
Dutch crime comedy or romantic comedy films,<mark>Dutch crime comedy films</mark> or <mark>Dutch romantic comedy films</mark>,"[""Dutch crime comedy films"", ""romantic comedy films""]"
Indian books from 1959,<mark>Indian books</mark> that are also <mark>1959 books</mark>,"[""format: book"", ""origin: India"", ""publication year: 1959""]"
Orchids of Réunion or Mauritius,<mark>Orchids of Mauritius</mark> or <mark>Orchids of Réunion</mark>,"[""orchids"", ""R\u00e9union"", ""Mauritius""]"
Neogene mammals of Africa that are Odd-toed ungulates,<mark>Odd-toed ungulates</mark> that are also <mark>Neogene mammals of Africa</mark>,"[""Neogene"", ""Africa"", ""Mammals"", ""Odd-toed ungulates (Perissodactyla)""]"
Books from Iceland that aren't about Iceland,<mark>Icelandic books</mark> that are not <mark>Books about Iceland</mark>,"[""books"", ""Icelandic author"", ""published in Iceland"", ""original language: Icelandic"", ""NOT topic: Iceland"", ""NOT setting: Iceland""]"
Flora of Sinaloa excluding Flora of Northeastern Mexico,<mark>Flora of Sinaloa</mark> that are not <mark>Flora of Northeastern Mexico</mark>,"[""Flora"", ""Sinaloa"", ""NOT Northeastern Mexico""]"
Birds of Canada and Mexico but not Fauna of Canada,<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Fauna of Canada</mark>,"[""Birds of Canada"", ""Birds of Mexico"", ""NOT Fauna of Canada""]"
what are Paleognathae that are not Flightless birds,<mark>Paleognathae</mark> that are not <mark>Flightless birds</mark>,"[""Paleognathae"", ""flight-capable birds""]"
"1980s animated superhero, South Korean fantasy adventure, or American children's animated space adventure films",<mark>1980s animated superhero films</mark> or <mark>South Korean fantasy adventure films</mark> or <mark>American children's animated space adventure films</mark>,"[""1980s animated superhero films"", ""South Korean fantasy adventure films"", ""American children's animated space adventure films""]"
historical novels from Hungary,<mark>Hungarian historical novels</mark>,"[""historical fiction"", ""novel"", ""Hungarian authors"", ""set in Hungary""]"
"Birds not native to the Western US, but that are in Mexico and Canada",<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Native birds of the Western United States</mark>,"[""birds (Aves)"", ""occurs in Mexico"", ""occurs in Canada"", ""not native to Western United States""]"
2010s German non-fiction books,<mark>German non-fiction books</mark> that are also <mark>2010s non-fiction books</mark>,"[""books"", ""non-fiction"", ""German language"", ""published in the 2010s (2010-2019)""]"
"Plants in Hinduism, Bible, or religion.",<mark>Plants in Hinduism</mark> or <mark>Plants in religion</mark> or <mark>Plants in the Bible</mark>,"[""religious plants"", ""sacred plants"", ""plants in Hinduism"", ""Hindu sacred plants"", ""plants in the Bible"", ""biblical plants"", ""plant symbolism in religion"", ""ritual use of plants"", ""sacred trees"", ""sacred groves""]"
Black comedy films about other films that are not American,<mark>Films about films</mark> that are also <mark>Black comedy films</mark> but not <mark>American black comedy films</mark>,"[""films"", ""black comedy"", ""about filmmaking"", ""non-American production""]"
"Amphibians that are found in Cambodia, but not Thailand",<mark>Amphibians of Cambodia</mark> that are not <mark>Amphibians of Thailand</mark>,"[""Amphibians"", ""Presence in Cambodia"", ""Absent from Thailand""]"
Pennsylvanian animals or Carboniferous of Asia,<mark>Carboniferous animals of Asia</mark> or <mark>Pennsylvanian animals</mark>,"[""Pennsylvanian"", ""animals"", ""Carboniferous"", ""Asia""]"
"Middle Jurassic reptiles, Jurassic animals or Middle Jurassic tetrapods of South America",<mark>Middle Jurassic reptiles of South America</mark> or <mark>Jurassic animals of South America</mark> or <mark>Middle Jurassic tetrapods of South America</mark>,"[""Middle Jurassic"", ""Jurassic"", ""reptiles"", ""animals"", ""tetrapods"", ""South America""]"
Novels set in Asia about writers but not biographical,<mark>Novels set in Asia</mark> that are also <mark>Novels about writers</mark> but not <mark>Biographical novels</mark>,"[""format: novel"", ""setting: Asia"", ""subject: writers/authors"", ""exclude: biography"", ""exclude: memoir"", ""exclude: biographical fiction""]"
"Trees of the Windward Islands,Îles des Saintes, or Tabasco",<mark>Trees of the Windward Islands</mark> or <mark>Trees of Îles des Saintes</mark> or <mark>Trees of Tabasco</mark>,"[""trees"", ""Windward Islands"", ""\u00celes des Saintes"", ""Tabasco (Mexico)""]"
Fauna of Tibet and Arthropods of Asia,<mark>Arthropods of Asia</mark> that are also <mark>Fauna of Tibet</mark>,"[""Tibet"", ""Asia"", ""Arthropods"", ""Fauna""]"
movies based on works by Bill Finger that are not American animated superhero movies,<mark>Films based on works by Bill Finger</mark> that are not <mark>American animated superhero films</mark>,"[""movies"", ""adapted from works by Bill Finger"", ""exclude: American animated superhero films""]"
"Birds from Saint Lucia, Dominica, or Guadeloupe",<mark>Birds of Saint Lucia</mark> or <mark>Birds of Dominica</mark> or <mark>Birds of Guadeloupe</mark>,"[""birds"", ""Saint Lucia"", ""Dominica"", ""Guadeloupe""]"
Fauna or Endemic fish of Metropolitan France,<mark>Endemic fish of Metropolitan France</mark> or <mark>Fauna of Metropolitan France</mark>,"[""fauna of metropolitan france"", ""endemic fish of metropolitan france""]"
