query,original_query,concepts
Engineering books but not about Technology,<mark>Engineering books</mark> that are not <mark>Technology books</mark>,"[""Engineering books"", ""Books about technology""]"
Lost Canadian films or documentary films about law enforcement in Canada,<mark>Documentary films about law enforcement in Canada</mark> or <mark>Lost Canadian films</mark>,"[""Lost Canadian films"", ""Documentary films about law enforcement in Canada""]"
Films that are either set in Nizhny Novgorod or that are Russian comedy thriller films,<mark>Russian comedy thriller films</mark> or <mark>Films set in Nizhny Novgorod</mark>,"[""Films set in Nizhny Novgorod"", ""Russian comedy thriller films""]"
what are Miocene animals of Europe that are also Odd-toed ungulates,<mark>Miocene animals of Europe</mark> that are also <mark>Odd-toed ungulates</mark>,"[""Miocene animals of Europe"", ""Odd-toed ungulates"", ""Miocene mammals"", ""Fossil perissodactyls of Europe""]"
what are Endemic fauna that are birds of Vietnam?,<mark>Endemic fauna of Vietnam</mark> that are also <mark>Birds</mark>,"[""Endemic fauna of Vietnam"", ""Birds of Vietnam"", ""Endemic birds of Vietnam""]"
Mammals of Uganda excluding Fauna of Central Africa,<mark>Mammals of Uganda</mark> that are not <mark>Fauna of Central Africa</mark>,"[""Mammals of Uganda"", ""Fauna of Central Africa"", ""Mammals of East Africa""]"
Fish that are from both Macaronesia and the Atlantic Ocean.,<mark>Fauna of Macaronesia</mark> that are also <mark>Fish of the Atlantic Ocean</mark>,"[""Fish of Macaronesia"", ""Fish of the Atlantic Ocean"", ""Eastern Atlantic fish"", ""Marine fish""]"
"Crops originating from Uruguay, Paraguay or Chile",<mark>Crops originating from Uruguay</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from Chile</mark>,"[""Crops originating in Uruguay"", ""Crops originating in Paraguay"", ""Crops originating in Chile""]"
Dutch crime comedy or romantic comedy films,<mark>Dutch crime comedy films</mark> or <mark>Dutch romantic comedy films</mark>,"[""Dutch crime comedy films"", ""Dutch romantic comedy films""]"
Indian books from 1959,<mark>Indian books</mark> that are also <mark>1959 books</mark>,"[""Books published in 1959"", ""Books by Indian authors"", ""Indian novels"", ""Indian non-fiction books""]"
Orchids of Réunion or Mauritius,<mark>Orchids of Mauritius</mark> or <mark>Orchids of Réunion</mark>,"[""Orchids of R\u00e9union"", ""Orchids of Mauritius"", ""Orchids of the Mascarene Islands""]"
Neogene mammals of Africa that are Odd-toed ungulates,<mark>Odd-toed ungulates</mark> that are also <mark>Neogene mammals of Africa</mark>,"[""Neogene mammals"", ""Mammals of Africa"", ""Odd-toed ungulates""]"
Books from Iceland that aren't about Iceland,<mark>Icelandic books</mark> that are not <mark>Books about Iceland</mark>,"[""Books by Icelandic authors"", ""Icelandic-language books"", ""Books published in Iceland"", ""Books about Iceland"", ""Books set in Iceland""]"
Flora of Sinaloa excluding Flora of Northeastern Mexico,<mark>Flora of Sinaloa</mark> that are not <mark>Flora of Northeastern Mexico</mark>,"[""Flora of Sinaloa"", ""Flora of Northeastern Mexico"", ""Pacific coastal flora of Mexico"", ""Sierra Madre Occidental flora"", ""Tropical dry forest flora of western Mexico""]"
Birds of Canada and Mexico but not Fauna of Canada,<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Fauna of Canada</mark>,"[""Birds of Canada"", ""Birds of Mexico"", ""Fauna of Canada""]"
what are Paleognathae that are not Flightless birds,<mark>Paleognathae</mark> that are not <mark>Flightless birds</mark>,"[""Paleognathae"", ""Flightless birds"", ""Tinamous""]"
"1980s animated superhero, South Korean fantasy adventure, or American children's animated space adventure films",<mark>1980s animated superhero films</mark> or <mark>South Korean fantasy adventure films</mark> or <mark>American children's animated space adventure films</mark>,"[""Animated superhero films"", ""South Korean films"", ""Fantasy adventure films"", ""American films"", ""Children's animated films"", ""Space adventure films""]"
historical novels from Hungary,<mark>Hungarian historical novels</mark>,"[""Historical novels"", ""Hungarian novels"", ""Novels set in Hungary"", ""Hungarian-language novels""]"
"Birds not native to the Western US, but that are in Mexico and Canada",<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Native birds of the Western United States</mark>,"[""Birds of Mexico"", ""Birds of Canada"", ""Native birds of the Western United States""]"
2010s German non-fiction books,<mark>German non-fiction books</mark> that are also <mark>2010s non-fiction books</mark>,"[""Non-fiction books"", ""2010s books"", ""German-language books"", ""Books by German authors"", ""Books published in Germany""]"
"Plants in Hinduism, Bible, or religion.",<mark>Plants in Hinduism</mark> or <mark>Plants in religion</mark> or <mark>Plants in the Bible</mark>,"[""Plants in Hinduism"", ""Plants in the Bible"", ""Plants in Abrahamic religions"", ""Plants used in religious rituals"", ""Sacred trees in religion""]"
Black comedy films about other films that are not American,<mark>Films about films</mark> that are also <mark>Black comedy films</mark> but not <mark>American black comedy films</mark>,"[""Black comedy films"", ""Films about filmmaking"", ""British films"", ""French films"", ""Australian films"", ""Canadian films""]"
"Amphibians that are found in Cambodia, but not Thailand",<mark>Amphibians of Cambodia</mark> that are not <mark>Amphibians of Thailand</mark>,"[""Amphibians of Cambodia"", ""Amphibians of Thailand"", ""Amphibians of Mainland Southeast Asia"", ""Mekong River basin amphibians""]"
Pennsylvanian animals or Carboniferous of Asia,<mark>Carboniferous animals of Asia</mark> or <mark>Pennsylvanian animals</mark>,"[""Pennsylvanian animals"", ""Carboniferous of Asia"", ""Carboniferous animals of Asia""]"
"Middle Jurassic reptiles, Jurassic animals or Middle Jurassic tetrapods of South America",<mark>Middle Jurassic reptiles of South America</mark> or <mark>Jurassic animals of South America</mark> or <mark>Middle Jurassic tetrapods of South America</mark>,"[""Middle Jurassic reptiles"", ""Jurassic animals"", ""Middle Jurassic tetrapods of South America""]"
Novels set in Asia about writers but not biographical,<mark>Novels set in Asia</mark> that are also <mark>Novels about writers</mark> but not <mark>Biographical novels</mark>,"[""Novels set in Asia"", ""Novels about writers"", ""Biographical novels"", ""Metafictional novels""]"
"Trees of the Windward Islands,Îles des Saintes, or Tabasco",<mark>Trees of the Windward Islands</mark> or <mark>Trees of Îles des Saintes</mark> or <mark>Trees of Tabasco</mark>,"[""Trees of the Windward Islands"", ""Trees of \u00celes des Saintes"", ""Trees of Tabasco""]"
Fauna of Tibet and Arthropods of Asia,<mark>Arthropods of Asia</mark> that are also <mark>Fauna of Tibet</mark>,"[""Fauna of Tibet"", ""Arthropods of Asia"", ""Insects of Asia"", ""Arachnids of Asia""]"
movies based on works by Bill Finger that are not American animated superhero movies,<mark>Films based on works by Bill Finger</mark> that are not <mark>American animated superhero films</mark>,"[""Films based on works by Bill Finger"", ""American films"", ""Animated films"", ""Superhero films""]"
"Birds from Saint Lucia, Dominica, or Guadeloupe",<mark>Birds of Saint Lucia</mark> or <mark>Birds of Dominica</mark> or <mark>Birds of Guadeloupe</mark>,"[""Birds of Saint Lucia"", ""Birds of Dominica"", ""Birds of Guadeloupe"", ""Birds of the Lesser Antilles""]"
Fauna or Endemic fish of Metropolitan France,<mark>Endemic fish of Metropolitan France</mark> or <mark>Fauna of Metropolitan France</mark>,"[""Fauna of Metropolitan France"", ""Endemic fish of Metropolitan France""]"
"trees of of the southern and north central united states, but not trees of eastern canada",<mark>Flora of the Southern United States</mark> that are also <mark>Trees of the North-Central United States</mark> but not <mark>Trees of Eastern Canada</mark>,"[""Trees of the Southern United States"", ""Trees of the North-Central United States"", ""Trees of Eastern Canada""]"
Books about Islamic fundamentalism but not ideologies,<mark>Books about Islamic fundamentalism</mark> that are not <mark>Books about ideologies</mark>,"[""Books about Islamic fundamentalism"", ""Books about Salafism"", ""Nonfiction books about Islam"", ""Ideologies""]"
Science books about cultural geography but not Psychology,<mark>Science books</mark> that are also <mark>Books about cultural geography</mark> but not <mark>Psychology books</mark>,"[""Science books"", ""Books about cultural geography"", ""Human geography books"", ""Psychology books""]"
"Movies that are either German psychological drama, French psychological horror, or Danish nonlinear narrative genres.",<mark>German psychological drama films</mark> or <mark>French psychological horror films</mark> or <mark>Danish nonlinear narrative films</mark>,"[""German psychological drama films"", ""French psychological horror films"", ""Danish nonlinear narrative films""]"
"2010 non fiction books that are non LGBT related, but about sexuality",<mark>2010s non-fiction books</mark> that are also <mark>Non-fiction books about sexuality</mark> but not <mark>LGBT-related books</mark>,"[""Nonfiction books"", ""Books about human sexuality"", ""Books about LGBT topics"", ""2010 books""]"
1960s spy comedy American thriller films,<mark>1960s spy comedy films</mark> that are also <mark>American thriller films</mark>,"[""1960s films"", ""Spy comedy films"", ""Thriller films"", ""American films""]"
Flora of North Korea or Orchids of Guizhou or Sichuan,<mark>Flora of North Korea</mark> or <mark>Orchids of Guizhou</mark> or <mark>Orchids of Sichuan</mark>,"[""Flora of North Korea"", ""Orchids of Guizhou"", ""Orchids of Sichuan""]"
Books about bacon or Andrews McMeel Publishing,<mark>Andrews McMeel Publishing books</mark> or <mark>Books about bacon</mark>,"[""Books about bacon"", ""Books published by Andrews McMeel Publishing""]"
Novels about nobility that are not Historical,<mark>Novels about nobility</mark> that are not <mark>Historical novels</mark>,"[""Novels about aristocracy and nobility"", ""Royal court intrigue novels"", ""Historical fiction novels""]"
Trees of the Western and Northwestern United States that are also in Mexico,<mark>Trees of the Western United States</mark> that are also both <mark>Trees of Mexico</mark> and <mark>Trees of the Northwestern United States</mark>,"[""Trees of the Western United States"", ""Trees of the Northwestern United States"", ""Trees of Mexico""]"
films about criminals in performing arts that doesn't involve stalking,<mark>Films about performing arts</mark> that are also <mark>Films about criminals</mark> but not <mark>Films about stalking</mark>,"[""Crime films"", ""Films about performing arts"", ""Films about musicians"", ""Films about theater"", ""Films about dancers"", ""Films about stalking""]"
